"Item Label","URI","Citation URI","Project","Project URI","Context","Context [2]","Context [3]","Context [4]","Context [5]","Context [6]","Context [7]","Context URI","Latitude (WGS 84)","Longitude (WGS 84)","Early BCE/CE","Late BCE/CE","Item Category","icon","Thumbnail","Published Date","Updated Date","Consists of","Consists of [URI]","Consists of [cidoc-crm-p45-consists-of]","Consists of [cidoc-crm-p45-consists-of] [URI]","Has type","Has type [cidoc-crm-p2-has-type]","Has type [cidoc-crm-p2-has-type] [URI]","Object Type [24-object-type]","Has type [URI]","Creator","Creator [URI]","Fabric Category","Object Type","Fragment Noted","Object Type (notes)","Size","Condition","Description","Fabric Description","Has note","Local Grid (Y)","Object Master Grid"
"PC 20030129","http://opencontext.org/subjects/3b136f69-8a97-47f5-226a-070d24a6bb0b","https://n2t.net/ark:/28722/k28052j2z","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 32","2003, ID:509","Locus 4","https://opencontext.org/subjects/5be931fd-8cfd-46a6-9e20-03fffc27a3da","43.15267917471133","11.401616702397","-700","-535","Object","https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg","https://iiif.archive.org/iiif/opencontext-24-20030129illustrationclaspdetailjpg/full/150,/0/default.jpg","2012-12-28T00:00:00Z","2024-01-31T10:25:03Z","bronze (metal)","https://vocab.getty.edu/aat/300010957","","","chains (object genres)","","","","https://vocab.getty.edu/aat/300014625","Anthony Tuck","http://opencontext.org/persons/61d87033-881e-48b9-ff27-27337bbcdaa0","Bronze","Costume, Accessories::Chain / Links","false","Bronze Link Bracelet","Max. Pres. Diameter of Bracelet 0.075 m, Max. Pres. Diameter of Link 0.005 m","Bracelet is essentially intact with four associated detached portions of links.  The surfaces of the links and clasps are distorted in color and wear due to corrosion and oxidation.","A nearly intact bronze bracelet preserves 56 circular links, each composed of thin bronze wire coiled three times.  The bracelet also preserves three longer “clasps” each composed of a length of wire bent in a lateral loop at one end, brought together and straightened, then curved back around vertically in a smaller double loop.","Bronze","<div xmlns= http://www.w3.org/1999/xhtml >               <p id= link-PC2003012900 >The Poggio Civitate Excavation Project website originally included this object at this address: <br/> <a href= http://www.poggiocivitate.org/catalog/viewartifactcatalog.asp?fid=PC2003012900 >http://www.poggiocivitate.org/catalog/viewartifactcatalog.asp?fid=PC2003012900</a> </p>             </div>","","<table class= table table-condensed >     <thead>       <tr>         <th>EW (x)</th>         <th>NS (y)</th>         <th>Depth (z)</th>         <th>Elev. (z)</th>       </tr>     </thead><tbody><tr>    <td>168.20</td>     <td>-59.96</td>     <td></td>     <td>27.45</td> </tr></tbody></table>"
"PC 19820091","http://opencontext.org/subjects/d930347d-596c-4580-5bbe-a818c283256a","https://n2t.net/ark:/28722/k23x87k4b","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 26","1982, ID:112","","https://opencontext.org/subjects/ddf93ae8-2cb7-4fc8-0d49-a204d6d19451","43.15261002891221","11.401820935790107","-700","-535","Object","https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg","https://iiif.archive.org/iiif/opencontext-24-19820091jpg/full/150,/0/default.jpg","2012-12-28T00:00:00Z","2024-01-31T19:54:12Z","bronze (metal)","https://vocab.getty.edu/aat/300010957","","","fibulae","","","","https://vocab.getty.edu/aat/300209303","Anthony Tuck","http://opencontext.org/persons/61d87033-881e-48b9-ff27-27337bbcdaa0","Bronze","Costume, Accessories::Fibula","false","Leech Fibula","Max. Pres. Length 0.0229 m, Max. Pres. Width of bow 0.0102 m, Max. Pres. Thickness of bow 0.005 m","Missing catchplate and pin. Surface and incision worn and incrusted. Unevenly colored surface. Two coils of spring preserved.","Leech fibula. Incised decoration consists of two concentric diamonds on the top of the bow enclosing two parallel longitudinal lines.","Bronze","<div xmlns= http://www.w3.org/1999/xhtml >               <p id= link-PC1982009100 >The Poggio Civitate Excavation Project website originally included this object at this address: <br/> <a href= http://www.poggiocivitate.org/catalog/viewartifactcatalog.asp?fid=PC1982009100 >http://www.poggiocivitate.org/catalog/viewartifactcatalog.asp?fid=PC1982009100</a> </p>             </div>","U","<table class= table table-condensed >     <thead>       <tr>         <th>EW (x)</th>         <th>NS (y)</th>         <th>Depth (z)</th>         <th>Elev. (z)</th>       </tr>     </thead><tbody><tr>    <td>185.329</td>     <td>-66.415</td>     <td></td>     <td></td> </tr></tbody></table>"
"PC 20020049","http://opencontext.org/subjects/1eb0db3a-a8f7-4461-eb27-3b430c31603f","https://n2t.net/ark:/28722/k28c9w35t","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 26","2002, ID:490","","https://opencontext.org/subjects/55238072-ec7e-4bd1-1bff-2c471e5840e3","43.15274800329348","11.401843054561127","-700","-535","Object","https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg","https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-20020049bbtjpg.jpg","2012-12-28T00:00:00Z","2024-01-31T09:35:50Z","lead (metal)","https://vocab.getty.edu/aat/300011022","","","sheets (flat objects)","","","","https://vocab.getty.edu/aat/300014671","Anthony Tuck","http://opencontext.org/persons/61d87033-881e-48b9-ff27-27337bbcdaa0","Lead","Shaped Object::Sheet","false","Folded Lead Sheet","Max. Pres. Length 0.050 m, Max. Pres. Width 0.011 m, Max. Pres. Thickness with Fold 0.006 m, Max. Pres. Thickness without Fold 0.003 m, Max. Pres. Width of Fold 0.003 m.","A folded lead sheet with pitted and worn surfaces and some incrustation appears to be intact.","A lead sheet folded in half curves concavely along the seam of the fold.","Lead","<div xmlns= http://www.w3.org/1999/xhtml >               <p id= link-PC2002004900 >The Poggio Civitate Excavation Project website originally included this object at this address: <br/> <a href= http://www.poggiocivitate.org/catalog/viewartifactcatalog.asp?fid=PC2002004900 >http://www.poggiocivitate.org/catalog/viewartifactcatalog.asp?fid=PC2002004900</a> </p>             </div>","","<table class= table table-condensed >     <thead>       <tr>         <th>EW (x)</th>         <th>NS (y)</th>         <th>Depth (z)</th>         <th>Elev. (z)</th>       </tr>     </thead><tbody><tr>    <td>186.0</td>     <td>-51.0</td>     <td></td>     <td>27.19</td> </tr><tr>    <td>187.0</td>     <td>-51.0</td>     <td></td>     <td>27.26</td> </tr></tbody></table>"
"PC 20020028","http://opencontext.org/subjects/006a656e-7491-49d7-beb9-2b099ab79812","https://n2t.net/ark:/28722/k2474br56","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 21","2002, ID:488","","https://opencontext.org/subjects/1bf95233-46fb-4a57-a802-c55200071858","43.15276815778511","11.401549190425884","-700","-535","Object","https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/photos/20020028TOP.jpg","2012-12-28T00:00:00Z","2024-01-31T09:33:37Z","bronze (metal)","https://vocab.getty.edu/aat/300010957","","","plates (general, dishes)","fibulae","https://vocab.getty.edu/aat/300209303","","https://vocab.getty.edu/aat/300042991","Anthony Tuck","http://opencontext.org/persons/61d87033-881e-48b9-ff27-27337bbcdaa0","Bronze","Costume, Accessories::Fibula","true","Bronze Fibula Fragments, Catchplate","Largest Fragment:  Max. Pres. Length 0.016 m, Max. Pres. Width 0.004 m, Max. Pres. Thickness 0.001 m","The preserved portions of the fibula consist of eight non-joining fragments.  The fragments appear to be broken on all sides.  The surface is heavily corroded and oxidized.","Bronze fibula catchplate fragments.  The edges curve upward along the length of the largest preserved fragment.  The surfaces of several associated fragments do not preserve this curvature but are probably distorted by break or wear.","Bronze","<div xmlns= http://www.w3.org/1999/xhtml >               <p id= link-PC2002002800 >The Poggio Civitate Excavation Project website originally included this object at this address: <br/> <a href= http://www.poggiocivitate.org/catalog/viewartifactcatalog.asp?fid=PC2002002800 >http://www.poggiocivitate.org/catalog/viewartifactcatalog.asp?fid=PC2002002800</a> </p>             </div>","","<table class= table table-condensed >     <thead>       <tr>         <th>EW (x)</th>         <th>NS (y)</th>         <th>Depth (z)</th>         <th>Elev. (z)</th>       </tr>     </thead><tbody><tr>    <td>162.0</td>     <td>-50.5</td>     <td></td>     <td>27.16</td> </tr><tr>    <td>162.5</td>     <td>-51.0</td>     <td></td>     <td></td> </tr></tbody></table>"
"PC 19880128","http://opencontext.org/subjects/eddbc3c1-efd8-4cf8-f3a8-f13de5b38da4","https://n2t.net/ark:/28722/k2q52kc12","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 26","1988, ID:130","","https://opencontext.org/subjects/c6841408-c4d0-4f1f-b163-0f093bd2ec6f","43.152655062458","11.401833190463023","-700","-535","Object","https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg","https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19880128jpg.jpg","2012-12-28T00:00:00Z","2024-02-01T00:31:45Z","bronze (metal)","https://vocab.getty.edu/aat/300010957","","","","","","","","Anthony Tuck","http://opencontext.org/persons/61d87033-881e-48b9-ff27-27337bbcdaa0","Bronze","Unclassified / Debris / Misc.","false","Bronze Object","Max. Pres. Length 0.060 m, Max. Pres. Width 0.039 m, Max. Pres. Thickness 0.002 m","Generally well preserved. Two surfaces and two finished edges preserved. Other edges broken irregularly. Several cracks on one end.","Piece is a single sheet of bronze preserved in a tube-like semi-circular curve. Two shallow ridges, pounded from what is now the interior of the tube are preserved parallel to the finished edges, but do not run the length of the piece. An irregular, concave divot is present along one of the unfinished edges.","Bronze","<div xmlns= http://www.w3.org/1999/xhtml >               <p id= link-PC1988012800 >The Poggio Civitate Excavation Project website originally included this object at this address: <br/> <a href= http://www.poggiocivitate.org/catalog/viewartifactcatalog.asp?fid=PC1988012800 >http://www.poggiocivitate.org/catalog/viewartifactcatalog.asp?fid=PC1988012800</a> </p>             </div>","P","<table class= table table-condensed >     <thead>       <tr>         <th>EW (x)</th>         <th>NS (y)</th>         <th>Depth (z)</th>         <th>Elev. (z)</th>       </tr>     </thead><tbody><tr>    <td>185.956</td>     <td>-61.354</td>     <td></td>     <td></td> </tr></tbody></table>"
"PC 19820099","http://opencontext.org/subjects/9ac9de54-5a33-4e3e-96f2-b0fd36f8ffb3","https://n2t.net/ark:/28722/k24x58g6j","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 26","1982, ID:112","","https://opencontext.org/subjects/ddf93ae8-2cb7-4fc8-0d49-a204d6d19451","43.15261021053134","11.401980782830282","-700","-535","Object","https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg","https://iiif.archive.org/iiif/opencontext-24-19820099bwbjpg/full/150,/0/default.jpg","2012-12-28T00:00:00Z","2024-02-01T02:33:19Z","iron (metal)","https://vocab.getty.edu/aat/300011002","","","spearheads","","","","https://vocab.getty.edu/aat/300037118","Anthony Tuck","http://opencontext.org/persons/61d87033-881e-48b9-ff27-27337bbcdaa0","Iron","Tool / Weapon::Spearhead","false","Iron Spearhead","Max. Pres. Length 0.2565 m, Max. Pres. Diameter of shaft 0.0257 m","Dark orange to black patina with heavy incrustation.","Iron spearhead has long tapering blade with slightly convex surface and blunt end. Shaft tapers to blade and is round in section.","Iron","<div xmlns= http://www.w3.org/1999/xhtml >               <p id= link-PC1982009900 >The Poggio Civitate Excavation Project website originally included this object at this address: <br/> <a href= http://www.poggiocivitate.org/catalog/viewartifactcatalog.asp?fid=PC1982009900 >http://www.poggiocivitate.org/catalog/viewartifactcatalog.asp?fid=PC1982009900</a> </p>             </div>","P","<table class= table table-condensed >     <thead>       <tr>         <th>EW (x)</th>         <th>NS (y)</th>         <th>Depth (z)</th>         <th>Elev. (z)</th>       </tr>     </thead><tbody><tr>    <td>198.294</td>     <td>-65.452</td>     <td></td>     <td></td> </tr></tbody></table>"
"PC 19800087","http://opencontext.org/subjects/d2b31f6c-2096-4af6-63f8-b2313e3f4e18","https://n2t.net/ark:/28722/k2m32s930","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 23","1980, ID:93","","https://opencontext.org/subjects/ab508f4f-df85-45d9-c8b1-3147603347e5","43.15267384564714","11.402050104620061","-700","-535","Object","https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg","https://iiif.archive.org/iiif/opencontext-24-19800087bwjpg/full/150,/0/default.jpg","2012-12-28T00:00:00Z","2024-01-31T18:09:35Z","iron (metal)","https://vocab.getty.edu/aat/300011002","","","finials","","","","https://vocab.getty.edu/aat/300002280","Anthony Tuck","http://opencontext.org/persons/61d87033-881e-48b9-ff27-27337bbcdaa0","Iron","Ornament::Finial","false","Iron Finial/Pommel (?)","Max. Pres. Length 0.0455 m, Max. Pres. Diameter of main body 0.028 m, Max. Pres. Diameter of ball on top 0.015 m, Max. Pres. Diameter of bottom pin 0.006 m, Max. Pres. Length of bottom pin 0.019 m","Heavily corroded and pitted on all surfaces; at one end the pin is broken off while the ball on top is restored from three fragments.","The main body of the finial consists of a truncated sphere bounded by two thin discs to form astrogal profile. A small ball surmounts the body. A broken pin extends from the bottom, encircled by two circular moldings located 0.010 m from the break.","Iron","<div xmlns= http://www.w3.org/1999/xhtml >               <p id= link-PC1980008700 >The Poggio Civitate Excavation Project website originally included this object at this address: <br/> <a href= http://www.poggiocivitate.org/catalog/viewartifactcatalog.asp?fid=PC1980008700 >http://www.poggiocivitate.org/catalog/viewartifactcatalog.asp?fid=PC1980008700</a> </p>             </div>","II","<table class= table table-condensed >     <thead>       <tr>         <th>EW (x)</th>         <th>NS (y)</th>         <th>Depth (z)</th>         <th>Elev. (z)</th>       </tr>     </thead><tbody><tr>    <td>203.397</td>     <td>-57.994</td>     <td></td>     <td></td> </tr></tbody></table>"
"PC 19870087","http://opencontext.org/subjects/02ded18f-27ca-4527-a440-c090efeafad0","https://n2t.net/ark:/28722/k2ww7bz9b","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 26","1987, ID:126","","https://opencontext.org/subjects/08d96c71-10e5-4c1e-245f-26d84bdc3426","43.15264568284586","11.402120736715855","-700","-535","Object","https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/photos/19870087TOP.jpg","2012-12-28T00:00:00Z","2024-01-31T00:59:32Z","bronze (metal)","https://vocab.getty.edu/aat/300010957","","","studs (bosses)","","","","https://vocab.getty.edu/aat/300036429","Anthony Tuck","http://opencontext.org/persons/61d87033-881e-48b9-ff27-27337bbcdaa0","Bronze","Fastener::Stud","false","Bronze Stud with Iron Shaft","Max. Pres. Length 0.027 m, Max. Pres. Diameter of head 0.054 m, Max. Pres. Diameter of shaft 0.012 m","The head is completely preserved. Broken across the shaft. The head is encrusted with iron. The shaft is corroded.","A stud with a bronze head that is dome-shaped and convex on the underside. The iron shaft was probably rectangular in section.","Bronze and iron","<div xmlns= http://www.w3.org/1999/xhtml >               <p id= link-PC1987008700 >The Poggio Civitate Excavation Project website originally included this object at this address: <br/> <a href= http://www.poggiocivitate.org/catalog/viewartifactcatalog.asp?fid=PC1987008700 >http://www.poggiocivitate.org/catalog/viewartifactcatalog.asp?fid=PC1987008700</a> </p>             </div>","H","<table class= table table-condensed >     <thead>       <tr>         <th>EW (x)</th>         <th>NS (y)</th>         <th>Depth (z)</th>         <th>Elev. (z)</th>       </tr>     </thead><tbody><tr>    <td>209.357</td>     <td>-60.697</td>     <td></td>     <td></td> </tr></tbody></table>"
"PC 19780108","http://opencontext.org/subjects/5c69a7cb-8dac-4719-a877-41b9c2e22481","https://n2t.net/ark:/28722/k2qc00562","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 23","1978, ID:89","","https://opencontext.org/subjects/3d75850b-7ecd-4675-b297-3ff2f5106d97","43.15273413162341","11.402103971721086","-700","-535","Object","https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg","https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19780108sidebjpg.jpg","2012-12-28T00:00:00Z","2024-01-31T07:10:39Z","bronze (metal)","https://vocab.getty.edu/aat/300010957","","","","","","","","Anthony Tuck","http://opencontext.org/persons/61d87033-881e-48b9-ff27-27337bbcdaa0","Bronze","Ornament::Unspecified / Misc.","true","Bronze Fragment","Max. Pres. Length 0.040 m, Max. Pres. Width 0.032 m, Max. Pres. Thickness 0.002 m","Surface corroded and worn, broken off irregularly on two ends; preserves two finished edges.","","Bronze","<div xmlns= http://www.w3.org/1999/xhtml >               <p id= link-PC1978010800 >The Poggio Civitate Excavation Project website originally included this object at this address: <br/> <a href= http://www.poggiocivitate.org/catalog/viewartifactcatalog.asp?fid=PC1978010800 >http://www.poggiocivitate.org/catalog/viewartifactcatalog.asp?fid=PC1978010800</a> </p>             </div>","A","<table class= table table-condensed >     <thead>       <tr>         <th>EW (x)</th>         <th>NS (y)</th>         <th>Depth (z)</th>         <th>Elev. (z)</th>       </tr>     </thead><tbody><tr>    <td>207.276</td>     <td>-50.997</td>     <td></td>     <td></td> </tr></tbody></table>"
"PC 19870096","http://opencontext.org/subjects/5768bb3f-a7a5-4aa2-7e7f-234b54bc206e","https://n2t.net/ark:/28722/k22n53h2m","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 26","1987, ID:126","","https://opencontext.org/subjects/08d96c71-10e5-4c1e-245f-26d84bdc3426","43.15263533288641","11.402154803098972","-700","-535","Object","https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/photos/19870096Profile.jpg","2012-12-28T00:00:00Z","2024-01-31T06:28:55Z","bronze (metal)","https://vocab.getty.edu/aat/300010957","","","rods (object genre)","","","","https://vocab.getty.edu/aat/300014669","Anthony Tuck","http://opencontext.org/persons/61d87033-881e-48b9-ff27-27337bbcdaa0","Bronze","Shaped Object::Bar / Rod / Shaft","true","Bronze Bar Fragment","Max. Pres. Width 0.020 m, Max. Pres. Length 0.035 m, Max. Pres. Thickness 0.010 m","Broken on all sides. One side pocked, the other smooth.","A fragment of a bronze bar (ingot?). One side is flat, the other slightly curved.","Bronze","<div xmlns= http://www.w3.org/1999/xhtml >               <p id= link-PC1987009600 >The Poggio Civitate Excavation Project website originally included this object at this address: <br/> <a href= http://www.poggiocivitate.org/catalog/viewartifactcatalog.asp?fid=PC1987009600 >http://www.poggiocivitate.org/catalog/viewartifactcatalog.asp?fid=PC1987009600</a> </p>             </div>","H","<table class= table table-condensed >     <thead>       <tr>         <th>EW (x)</th>         <th>NS (y)</th>         <th>Depth (z)</th>         <th>Elev. (z)</th>       </tr>     </thead><tbody><tr>    <td>212.204</td>     <td>-61.642</td>     <td></td>     <td></td> </tr></tbody></table>"
